title,author,genre,ageRange,series,number,pov,timePeriod,place,protagonist.name,protagonist.lifeStage,protagonist.gender,protagonist.disability,protagonist.lgbtq,protagonist.ethnicity,protagonist.occupation,pocPresence,lgbtqPresence,type,culture,magic,races,creatures,crime,mood,pairing,subgenre,tropes,loveInterest.name,loveInterest.lifeStage,loveInterest.gender,loveInterest.disability,loveInterest.lgbtq,loveInterest.ethnicity,loveInterest.occupation,spice
The Adventures of Amina Al-Sirafi,S A Chakraborty,FANTASY,ADULT,Amina Al-Sirafi,1,THIRD,MEDIEVAL,MULTIPLE,Amina Al-Sirafi,MIDDLE AGED,FEMALE,N,STRAIGHT,MIDDLE EASTERN,PIRATE,Y,Y,LOW,MIDDLE EASTERN,Y,NONE,DEMON,,,,,,,,,,,,,
The Final Strife,Saara El-Arifi,FANTASY,ADULT,The Ending Fire,1,THIRD MULTIPLE,FANTASY,CITY,Anoor,YOUNG ADULT,FEMALE,N,BISEXUAL,MIDDLE EASTERN,COVERT,Y,Y,HIGH,MIDDLE EASTERN,Y,NONE,NONE,,,,,,,,,,,,,
The Battle Drum,Saara El-Arifi,FANTASY,ADULT,The Ending Fire,2,THIRD MULTIPLE,FANTASY,MULTIPLE,Anoor,YOUNG ADULT,FEMALE,N,BISEXUAL,MIDDLE EASTERN,COVERT,Y,Y,HIGH,MIDDLE EASTERN,Y,NONE,NONE,,,,,,,,,,,,,
Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,FANTASY,ADULT,Emily Wilde,1,FIRST MULTIPLE,20TH CENTURY,VILLAGE,Emily Wilde,ADULT,FEMALE,N,STRAIGHT,WHITE,ACADEMIC,N,N,LOW,EUROPEAN,N,FAE,NONE,,,,,,,,,,,,,
A Discovery of Witches,Deborah Harkness,FANTASY,ADULT,All Souls,1,MIXED,MODERN,SCHOOL/COLLEGE,Diana Bishop,ADULT,FEMALE,N,STRAIGHT,WHITE,ACADEMIC,N,N,LOW,EUROPEAN,Y,WITCHES; VAMPIRES,NONE,,,,,,,,,,,,,
Shadow of Night,Deborah Harkness,FANTASY,ADULT,All Souls,2,MIXED,MULTIPLE,MULTIPLE,Diana Bishop,ADULT,FEMALE,N,STRAIGHT,WHITE,ACADEMIC,N,N,LOW,EUROPEAN,Y,WITCHES; VAMPIRES,NONE,,,,,,,,,,,,,
The Book of Life,Deborah Harkness,FANTASY,ADULT,All Souls,3,MIXED,MODERN,MULTIPLE,Diana Bishop,ADULT,FEMALE,N,STRAIGHT,WHITE,ACADEMIC,N,N,LOW,EUROPEAN,Y,WITCHES; VAMPIRES,NONE,,,,,,,,,,,,,
A Court of Thorns and Roses,Sarah J Maas,FANTASY,NA,A Court of Thorns and Roses,1,FIRST,FANTASY,MULTIPLE,Feyre Archeron,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,HUNTER,N,N,HIGH,EUROPEAN,Y,FAE,NONE,,,,,,,,,,,,,
A Court of Mist and Fury,Sarah J Maas,FANTASY,NA,A Court of Thorns and Roses,2,FIRST,FANTASY,MULTIPLE,Feyre Archeron,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,HUNTER,N,N,HIGH,EUROPEAN,Y,FAE,NONE,,,,,,,,,,,,,
A Court of Wings and Ruin,Sarah J Maas,FANTASY,NA,A Court of Thorns and Roses,3,FIRST,FANTASY,MULTIPLE,Feyre Archeron,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,FAE,NONE,,,,,,,,,,,,,
A Court of Silver Flames,Sarah J Maas,FANTASY,NA,A Court of Thorns and Roses,4,THIRD MULTIPLE,FANTASY,MULTIPLE,Nesta Archeron,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,WAR,N,N,HIGH,EUROPEAN,Y,FAE,NONE,,,,,,,,,,,,,
Throne of Glass,Sarah J Maas,FANTASY,YA,Throne of Glass,1,THIRD MULTIPLE,FANTASY,MULTIPLE,Celaena Sardothien,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,COVERT,N,N,HIGH,EUROPEAN,N,NONE,NONE,,,,,,,,,,,,,
Crown of Midnight,Sarah J Maas,FANTASY,YA,Throne of Glass,2,THIRD MULTIPLE,FANTASY,MULTIPLE,Celaena Sardothien,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,COVERT,N,N,HIGH,EUROPEAN,N,NONE,NONE,,,,,,,,,,,,,
Heir of Fire,Sarah J Maas,FANTASY,YA,Throne of Glass,3,THIRD MULTIPLE,FANTASY,MULTIPLE,Celaena Sardothien,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,COVERT,N,Y,HIGH,EUROPEAN,Y,FAE; DEMONS; WITCHES,NONE,,,,,,,,,,,,,
Queen of Shadows,Sarah J Maas,FANTASY,YA,Throne of Glass,4,THIRD MULTIPLE,FANTASY,MULTIPLE,Aelin Ashriver Galathynius,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,MAGE,N,N,HIGH,EUROPEAN,Y,FAE; DEMONS; WITCHES,NONE,,,,,,,,,,,,,
Empire of Storms,Sarah J Maas,FANTASY,YA,Throne of Glass,5,THIRD MULTIPLE,FANTASY,MULTIPLE,Aelin Ashriver Galathynius,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,FAE; DEMONS; WITCHES,NONE,,,,,,,,,,,,,
Tower of Dawn,Sarah J Maas,FANTASY,YA,Throne of Glass,6,THIRD MULTIPLE,FANTASY,MULTIPLE,Chaol Westfall,YOUNG ADULT,MALE,Y,STRAIGHT,WHITE,SOLDIER,Y,Y,HIGH,MIDDLE EASTERN,Y,FAE; DEMONS; WITCHES,NONE,,,,,,,,,,,,,
Kingdom of Ash,Sarah J Maas,FANTASY,YA,Throne of Glass,7,THIRD MULTIPLE,FANTASY,MULTIPLE,Aelin Ashriver Galathynius,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,FAE; DEMONS; WITCHES,NONE,,,,,,,,,,,,,
House of Earth and Blood,Sarah J Maas,FANTASY,NA,Crescent City,1,THIRD MULTIPLE,FANTASY,CITY,Bryce Quinlan,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,RETAIL,N,N,HIGH,EUROPEAN,Y,FAE; ANGELS; WITCHES; MERFOLK,NONE,,,,,,,,,,,,,
House of Sky and Breath,Sarah J Maas,FANTASY,NA,Crescent City,2,THIRD MULTIPLE,FANTASY,CITY,Bryce Quinlan,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,RETAIL,N,N,HIGH,EUROPEAN,Y,FAE; ANGELS; WITCHES; MERFOLK,NONE,,,,,,,,,,,,,
Kingdom of the Wicked,Kerri Maniscalco,FANTASY,YA,Kingdom of the Wicked,1,FIRST,19TH CENTURY,CITY,Emilia,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,HOSPITALITY,N,N,HIGH,EUROPEAN,Y,DEMONS; WITCHES,NONE,,,,,,,,,,,,,
Kingdom of the Cursed,Kerri Maniscalco,FANTASY,YA,Kingdom of the Wicked,2,FIRST,19TH CENTURY,COURT,Emilia,YOUNG ADULT,NO,N,STRAIGHT,WHITE,HOSPITALITY,N,N,HIGH,EUROPEAN,Y,DEMONS; WITCHES; VAMPIRES,NONE,,,,,,,,,,,,,
Kingdom of the Feared,Kerri Maniscalco,FANTASY,YA,Kingdom of the Wicked,3,FIRST,19TH CENTURY,COURT,Emilia,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,HOSPITALITY,N,N,HIGH,EUROPEAN,Y,DEMONS; WITCHES; VAMPIRES,NONE,,,,,,,,,,,,,
Throne of the Fallen,Kerri Maniscalco,FANTASY,ADULT,STANDALONE,0,THIRD MULTIPLE,FANTASY,MULTIPLE,Camilla,ADULT,FEMALE,N,STRAIGHT,WHITE,CREATIVE,N,N,HIGH,EUROPEAN,Y,DEMONS; WITCHES; VAMPIRES,NONE,,,,,,,,,,,,,
A Deadly Education,Naomi Novik,FANTASY,ADULT,The Scholomance,1,FIRST,MODERN,SCHOOL/COLLEGE,Gal,TEEN,FEMALE,N,BISEXUAL,MIXED RACE,STUDENT,Y,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
The Last Graduate,Naomi Novik,FANTASY,ADULT,The Scholomance,2,FIRST,MODERN,SCHOOL/COLLEGE,Gal,TEEN,FEMALE,N,BISEXUAL,MIXED RACE,STUDENT,Y,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
The Golden Enclaves,Naomi Novik,FANTASY,ADULT,The Scholomance,3,FIRST,MODERN,MULTIPLE,Gal,TEEN,FEMALE,N,BISEXUAL,MIXED RACE,STUDENT,Y,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
Spinning Silver,Naomi Novik,FANTASY,ADULT,STANDALONE,0,FIRST MULTIPLE,MEDIEVAL,MULTIPLE,Miriam,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,FINANCE,N,N,HIGH,EUROPEAN,Y,FAE; DEMONS,NONE,,,,,,,,,,,,,
Uprooted,Naomi Novik,FANTASY,ADULT,STANDALONE,0,FIRST,MEDIEVAL,MULTIPLE,Agnieszka,TEEN,FEMALE,N,STRAIGHT,WHITE,MAGE,N,N,HIGH,EUROPEAN,Y,WITCHES,NONE,,,,,,,,,,,,,
Little Thieves,Margaret Owen,FANTASY,YA,Little Thieves,1,FIRST,MEDIEVAL,MULTIPLE,Vanya,TEEN,FEMALE,N,STRAIGHT,WHITE,CRIME,N,Y,HIGH,EUROPEAN,Y,GODS; SHAPESHIFTERS,NONE,,,,,,,,,,,,,
Painted Devils,Margaret Owen,FANTASY,YA,Little Thieves,2,FIRST,MEDIEVAL,MULTIPLE,Vanya,TEEN,FEMALE,N,STRAIGHT,WHITE,CRIME,N,Y,HIGH,EUROPEAN,Y,GODS; SHAPESHIFTERS,NONE,,,,,,,,,,,,,
The Merciful Crow,Margaret Owen,FANTASY,YA,The Merciful Crow,1,FIRST,FANTASY,MULTIPLE,Fie,TEEN,FEMALE,N,STRAIGHT,WHITE,TRADE,N,Y,HIGH,EUROPEAN,Y,GODS,NONE,,,,,,,,,,,,,
The Faithless Hawk,Margaret Owen,FANTASY,YA,The Merciful Crow,2,FIRST,FANTASY,MULTIPLE,Fie,TEEN,FEMALE,N,STRAIGHT,WHITE,TRADE,N,Y,HIGH,EUROPEAN,Y,GODS,NONE,,,,,,,,,,,,,
A River Enchanted,Rebecca Ross,FANTASY,ADULT,Elements of Cadence,1,THIRD MULTIPLE,FANTASY,MULTIPLE,Jack,YOUNG ADULT,MALE,N,STRAIGHT,WHITE,CREATIVE,N,N,HIGH,CELTIC,Y,FAE,NONE,,,,,,,,,,,,,
Harry Potter and the Sorcerer's Stone,J K Rowling,FANTASY,MIDDLE GRADE,Harry Potter,1,THIRD,MODERN,SCHOOL/COLLEGE,Harry Potter,CHILD,MALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,MAGES; GOBLINS; ELVES; MERFOLK,CENTAUR; DRAGON; PHOENIX; GHOST,,,,,,,,,,,,,
Harry Potter and the Chamber of Secrets,J K Rowling,FANTASY,MIDDLE GRADE,Harry Potter,2,THIRD,MODERN,SCHOOL/COLLEGE,Harry Potter,CHILD,MALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,MAGES; GOBLINS; ELVES; MERFOLK,CENTAUR; PHOENIX; GHOST,,,,,,,,,,,,,
Harry Potter and the Prisoner of Azkaban,J K Rowling,FANTASY,MIDDLE GRADE,Harry Potter,3,THIRD,MODERN,SCHOOL/COLLEGE,Harry Potter,TEEN,MALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,MAGES; GOBLINS; ELVES; MERFOLK; WEREWOLVES,CENTAUR; GHOST,,,,,,,,,,,,,
Harry Potter and the Goblet of Fire,J K Rowling,FANTASY,MIDDLE GRADE,Harry Potter,4,THIRD,MODERN,SCHOOL/COLLEGE,Harry Potter,TEEN,MALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,MAGES; GOBLINS; ELVES; MERFOLK,CENTAUR; DRAGON; GHOST,,,,,,,,,,,,,
Harry Potter and the Order of the Phoenix,J K Rowling,FANTASY,MIDDLE GRADE,Harry Potter,5,THIRD,MODERN,SCHOOL/COLLEGE,Harry Potter,TEEN,MALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,MAGES; GOBLINS; ELVES; MERFOLK,CENTAUR; GHOST,,,,,,,,,,,,,
Harry Potter and the Half-Blood Prince,J K Rowling,FANTASY,MIDDLE GRADE,Harry Potter,6,THIRD,MODERN,SCHOOL/COLLEGE,Harry Potter,TEEN,MALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,MAGES; GOBLINS; ELVES; MERFOLK,CENTAUR; GHOST,,,,,,,,,,,,,
Harry Potter and the Deathly Hallows,J K Rowling,FANTASY,MIDDLE GRADE,Harry Potter,7,THIRD,MODERN,SCHOOL/COLLEGE,Harry Potter,TEEN,MALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,MAGES; GOBLINS; ELVES; MERFOLK,CENTAUR; GHOST,,,,,,,,,,,,,
Ariadne,Jennifer Saint,FANTASY,ADULT,STANDALONE,0,FIRST MULTIPLE,ANCIENT,MULTIPLE,Ariadne,MULTIPLE,FEMALE,N,STRAIGHT,WHITE,MULTIPLE,N,N,LOW,EUROPEAN,Y,GODS,MINOTAUR,,,,,,,,,,,,,
Elektra,Jennifer Saint,FANTASY,ADULT,STANDALONE,0,FIRST MULTIPLE,ANCIENT,MULTIPLE,Elektra,MULTIPLE,FEMALE,N,STRAIGHT,WHITE,MULTIPLE,N,N,LOW,EUROPEAN,Y,GODS,NONE,,,,,,,,,,,,,
Atalanta,Jennifer Saint,FANTASY,ADULT,STANDALONE,0,FIRST,ANCIENT,MULTIPLE,Atalanta,MULTIPLE,FEMALE,N,STRAIGHT,WHITE,HUNTER,N,N,LOW,EUROPEAN,Y,GODS,NONE,,,,,,,,,,,,,
A Darker Shade of Magic,V E Schwab,FANTASY,ADULT,Shades of Magic,1,THIRD MULTIPLE,FANTASY,MULTIPLE,Kell,YOUNG ADULT,MALE,N,STRAIGHT,WHITE,MAGE,N,N,HIGH,EUROPEAN,Y,MAGES,NONE,,,,,,,,,,,,,
A Gathering of Shadows,V E Schwab,FANTASY,ADULT,Shades of Magic,2,THIRD MULTIPLE,FANTASY,MULTIPLE,Kell,YOUNG ADULT,MALE,N,STRAIGHT,WHITE,MAGE,Y,N,HIGH,EUROPEAN,Y,DEMONS; MAGES,NONE,,,,,,,,,,,,,
A Conjuring of Light,V E Schwab,FANTASY,ADULT,Shades of Magic,3,THIRD MULTIPLE,FANTASY,MULTIPLE,Kell,YOUNG ADULT,MALE,N,STRAIGHT,WHITE,MAGE,Y,Y,HIGH,EUROPEAN,Y,DEMONS; MAGES,NONE,,,,,,,,,,,,,
Vicious,V E Schwab,FANTASY,ADULT,Villains,1,THIRD MULTIPLE,MODERN,MULTIPLE,Victor Vale,ADULT,MALE,N,STRAIGHT,WHITE,COVERT,N,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
Vengeful,V E Schwab,FANTASY,ADULT,Villains,2,THIRD MULTIPLE,MODERN,MULTIPLE,Victor Vale,ADULT,MALE,N,STRAIGHT,WHITE,COVERT,N,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
The Fragile Threads of Power,V E Schwab,FANTASY,ADULT,Threads of Power,1,THIRD MULTIPLE,FANTASY,CITY,Tes,ADULT,FEMALE,N,STRAIGHT,WHITE,MAGE,N,Y,HIGH,EUROPEAN,Y,MAGES,NONE,,,,,,,,,,,,,
For the Wolf,Hannah Whitten,FANTASY,ADULT,Wilderwood,1,THIRD MULTIPLE,FANTASY,MULTIPLE,Redarys,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,DEMONS,NONE,,,,,,,,,,,,,
For the Throne,Hannah Whitten,FANTASY,ADULT,Wilderwood,2,THIRD MULTIPLE,FANTASY,MULTIPLE,Neve,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,DEMONS,NONE,,,,,,,,,,,,,
The Spanish Love Deception,Elena Armas,ROMANCE,ADULT,Spanish Love Deception,1,FIRST,MODERN,MULTIPLE,Catalina,ADULT,FEMALE,N,STRAIGHT,HISPANIC,OFFICE,Y,N,,,,,,,,M/F,ROMCOM,COWORKERS; ENEMIES TO LOVERS; FAKE RELATIONSHIP; PINING,Aaron,ADULT,MALE,N,STRAIGHT,WHITE,OFFICE,4
The American Roommate Experiment,Elena Armas,ROMANCE,ADULT,Spanish Love Deception,2,FIRST MULTIPLE,MODERN,CITY,Rosia,ADULT,FEMALE,N,STRAIGHT,WHITE,BOOKS,Y,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; PINING; SIBLING'S BEST FRIEND,Lucas,ADULT,MALE,Y,STRAIGHT,HISPANIC,ATHLETE,4
The Long Game,Elena Armas,ROMANCE,ADULT,Long Game,1,FIRST MULTIPLE,MODERN,TOWN,Addie Reyes,ADULT,FEMALE,N,STRAIGHT,HISPANIC,CORPORATE,Y,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; SPORTS,Cameron,ADULT,MALE,N,STRAIGHT,WHITE,ATHLETE,4
It Happened One Summer,Tessa Bailey,ROMANCE,ADULT,Bellinger Sisters,1,THIRD MULTIPLE,MODERN,TOWN,Piper Bellinger,ADULT,FEMALE,N,STRAIGHT,WHITE,SOCIALITE,N,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; GRUMPY/SUNSHINE,Brendan,ADULT,MALE,N,STRAIGHT,WHITE,TRADE,4
Hook Line and Sinker,Tessa Bailey,ROMANCE,ADULT,Bellinger Sisters,2,THIRD MULTIPLE,MODERN,TOWN,Hannah Bellinger,ADULT,FEMALE,N,STRAIGHT,WHITE,CREATIVE,N,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; FRIENDS TO LOVERS,Fox,ADULT,MALE,N,STRAIGHT,WHITE,TRADE,4
Fix Her Up,Tessa Bailey,ROMANCE,ADULT,Hot & Hammered,1,THIRD MULTIPLE,MODERN,TOWN,Georgie Castle,ADULT,FEMALE,N,STRAIGHT,WHITE,SMALL BUSINESS,Y,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; FORCED PROXIMITY; SIBLING'S BEST FRIEND,Travis,ADULT,MALE,Y,STRAIGHT,WHITE,ATHLETE,4
Love Her or Lose Her,Tessa Bailey,ROMANCE,ADULT,Hot & Hammered,2,THIRD MULTIPLE,MODERN,TOWN,Rosie Vega,ADULT,FEMALE,N,STRAIGHT,HISPANIC,CHEF,Y,N,,,,,,,,M/F,ROMCOM,SECOND CHANCES,Dominic,ADULT,MALE,N,STRAIGHT,HISPANIC,LABOR,4
Tools of Engagement,Tessa Bailey,ROMANCE,ADULT,Hot & Hammered,3,THIRD MULTIPLE,MODERN,TOWN,Bethany Castle,ADULT,FEMALE,N,STRAIGHT,WHITE,SMALL BUSINESS,Y,N,,,,,,,,M/F,ROMCOM,AGE GAP; BOSS/EMPLOYEE,Wes,ADULT,MALE,N,STRAIGHT,WHITE,LABOR,4
Secretly Yours,Tessa Bailey,ROMANCE,ADULT,A Vine Mess,1,THIRD MULTIPLE,MODERN,TOWN,Hallie Welch,ADULT,FEMALE,N,STRAIGHT,WHITE,SMALL BUSINESS,N,N,,,,,,,,M/F,ROMCOM,PINING,Julian,ADULT,MALE,N,STRAIGHT,WHITE,ACADEMIC,4
Unfortunately Yours,Tessa Bailey,ROMANCE,ADULT,A Vine Mess,2,THIRD MULTIPLE,MODERN,TOWN,Natalie Vos,ADULT,FEMALE,N,STRAIGHT,WHITE,SOCIALITE,N,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; ENEMIES TO LOVERS; MARRIAGE OF CONVENIENCE; PINING,August,ADULT,MALE,N,STRAIGHT,WHITE,SMALL BUSINESS,4
Chase Me,Tessa Bailey,ROMANCE,ADULT,Broke and Beautiful,1,THIRD MULTIPLE,MODERN,CITY,Roxy Cumberland,ADULT,FEMALE,N,STRAIGHT,WHITE,OTHER,N,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; INSTALOVE,Louis,ADULT,MALE,N,STRAIGHT,WHITE,CORPORATE,4
Need Me,Tessa Bailey,ROMANCE,ADULT,Broke and Beautiful,2,THIRD MULTIPLE,MODERN,CITY,Honey Perribow,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,,,,,,,,M/F,ROMCOM,AGE GAP; BOSS/EMPLOYEE; FORBIDDEN,Ben,ADULT,MALE,N,STRAIGHT,WHITE,ACADEMIC,4
Make Me,Tessa Bailey,ROMANCE,ADULT,Broke and Beautiful,3,THIRD MULTIPLE,MODERN,CITY,Abby Sullivan,ADULT,FEMALE,N,STRAIGHT,WHITE,CORPORATE,N,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; FRIENDS TO LOVERS; PINING,Russell,ADULT,MALE,N,STRAIGHT,WHITE,LABOR,4
The Undertaking of Hart and Mercy,Megan Bannen,ROMANCE,ADULT,The Undertaking of Hart and Mercy,1,THIRD MULTIPLE,FANTASY,CITY,Mercy,ADULT,FEMALE,N,BISEXUAL,WHITE,SMALL BUSINESS,N,Y,,,,,,,,M/F,FANTASY,ENEMIES TO LOVERS,Hart Ralston,ADULT,MALE,N,STRAIGHT,WHITE,POLICE,3
Delilah Green Doesn't Care,Ashley Herring Blake,ROMANCE,ADULT,Bright Falls,1,THIRD MULTIPLE,MODERN,TOWN,Delilah Green,ADULT,FEMALE,N,LESBIAN,WHITE,CREATIVE,N,Y,,,,,,,,F/F,ROMCOM,ENEMIES TO LOVERS; FORCED PROXIMITY; GRUMPY/SUNSHINE; SIBLING'S BEST FRIEND,Claire,ADULT,FEMALE,N,BISEXUAL,WHITE,SMALL BUSINESS,4
Astrid Parker Doesn't Fail,Ashley Herring Blake,ROMANCE,ADULT,Bright Falls,2,THIRD MULTIPLE,MODERN,TOWN,Astrid Parker,ADULT,FEMALE,N,BISEXUAL,WHITE,SMALL BUSINESS,N,Y,,,,,,,,F/F,ROMCOM,COWORKERS; ENEMIES TO LOVERS; SECRET RELATIONSHIP,Jordan,ADULT,FEMALE,N,LESBIAN,WHITE,SMALL BUSINESS,4
Iris Kelly Doesn't Date,Ashley Herring Blake,ROMANCE,ADULT,Bright Falls,3,THIRD MULTIPLE,MODERN,TOWN,Iris Kelly,ADULT,FEMALE,N,BISEXUAL,WHITE,BOOKS,N,Y,,,,,,,,F/F,ROMCOM,FAKE RELATIONSHIP,Stevie,ADULT,FEMALE,N,LESBIAN,WHITE,CREATIVE,4
Lovelight Farms,B.K. Borison,ROMANCE,ADULT,Lovelight,1,FIRST,MODERN,TOWN,Stella Bloom,ADULT,FEMALE,N,STRAIGHT,WHITE,SMALL BUSINESS,N,N,,,,,,,,M/F,ROMCOM,FAKE RELATIONSHIP; PINING; FRIENDS TO LOVERS,Luka Peters,ADULT,MALE,N,STRAIGHT,WHITE,OFFICE,3
In The Weeds,B.K. Borison,ROMANCE,ADULT,Lovelight,2,FIRST MULTIPLE,MODERN,TOWN,Evelyn St. James,ADULT,FEMALE,N,STRAIGHT,INDIAN,CELEBRITY,Y,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; SECOND CHANCES; FORCED PROXIMITY,Beckett Porter,ADULT,MALE,N,STRAIGHT,WHITE,LABOR,3
Mixed Signals,B.K. Borison,ROMANCE,ADULT,Lovelight,3,FIRST MULTIPLE,MODERN,TOWN,Layla Dupree,ADULT,FEMALE,N,STRAIGHT,WHITE,SMALL BUSINESS,Y,N,,,,,,,,M/F,ROMCOM,PINING; FRIENDS TO LOVERS,Caleb Alvarez,ADULT,MALE,N,STRAIGHT,HISPANIC,EDUCATION,3
The Boy Next Door,Meg Cabot,ROMANCE,ADULT,Boy,1,MIXED,MODERN,CITY,Mel Fuller,ADULT,FEMALE,N,STRAIGHT,WHITE,JOURNALIST,N,N,,,,,,,,M/F,ROMCOM,CLASS DIFFERENCE; FORCED PROXIMITY,John,ADULT,MALE,N,STRAIGHT,WHITE,JOURNALIST,2
Boy Meets Girl,Meg Cabot,ROMANCE,ADULT,Boy,2,MIXED,MODERN,CITY,Kate McKenzie,ADULT,FEMALE,N,STRAIGHT,WHITE,OFFICE,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; FORCED PROXIMITY; INSTALOVE,Mitch,ADULT,MALE,N,STRAIGHT,WHITE,LAW,2
Every Boy's Got One,Meg Cabot,ROMANCE,ADULT,Boy,3,MIXED,MODERN,COUNTRY,Jane Harris,ADULT,FEMALE,N,STRAIGHT,WHITE,CREATIVE,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; FORCED PROXIMITY; GRUMPY/SUNSHINE,Cal,ADULT,MALE,N,STRAIGHT,WHITE,JOURNALIST,2
The Boy is Back,Meg Cabot,ROMANCE,ADULT,Boy,4,MIXED,MODERN,TOWN,Becky Flowers,ADULT,FEMALE,N,STRAIGHT,WHITE,SMALL BUSINESS,N,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; PINING; SECOND CHANCES,Reed,ADULT,MALE,N,STRAIGHT,WHITE,ATHLETE,2
Insatiable,Meg Cabot,ROMANCE,ADULT,Insatiable,1,THIRD MULTIPLE,MODERN,CITY,Meena Harper,ADULT,FEMALE,N,STRAIGHT,WHITE,CREATIVE,N,N,,,,,,,,M/F,PARANORMAL,AGE GAP; CLASS DIFFERENCE; FORBIDDEN; INSTALOVE,Lucien,IMMORTAL,MALE,N,STRAIGHT,WHITE,ACADEMIC,2
Overbite,Meg Cabot,ROMANCE,ADULT,Insatiable,2,THIRD MULTIPLE,MODERN,MULTIPLE,Meena Harper,ADULT,FEMALE,N,STRAIGHT,WHITE,COVERT,N,N,,,,,,,,M/F,PARANORMAL,AGE GAP; CLASS DIFFERENCE; FORBIDDEN; INSTALOVE,Lucien,IMMORTAL,MALE,N,STRAIGHT,WHITE,ACADEMIC,2
In A Jam,Kate Canterbary,ROMANCE,ADULT,STANDALONE,0,FIRST MULTIPLE,MODERN,TOWN,Shay Zucconi,ADULT,FEMALE,N,STRAIGHT,WHITE,EDUCATION,N,N,,,,,,,,M/F,ROMCOM,MARRIAGE OF CONVENIENCE; PINING; SECOND CHANCES; SECRET RELATIONSHIP,Noah,ADULT,MALE,N,STRAIGHT,WHITE,SMALL BUSINESS,4
The Bodyguard,Katherine Center,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,TOWN,Hannah Brooks,ADULT,FEMALE,N,STRAIGHT,WHITE,POLICE,N,N,,,,,,,,M/F,ROMCOM,BOSS/EMPLOYEE; FAKE RELATIONSHIP; FORCED PROXIMITY,Jack,ADULT,MALE,N,STRAIGHT,WHITE,CELEBRITY,2
Things You Save in a Fire,Katherine Center,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,CITY,Cassie Hanwell,ADULT,FEMALE,N,STRAIGHT,WHITE,PUBLIC SERVICE,N,N,,,,,,,,M/F,CONTEMPORARY,COWORKERS; FORBIDDEN; FRIENDS TO LOVERS,Owen,ADULT,MALE,N,STRAIGHT,WHITE,PUBLIC SERVICE,2
