title,author,genre,ageRange,series,number,pov,timePeriod,place,protagonist.name,protagonist.lifeStage,protagonist.gender,protagonist.disability,protagonist.lgbtq,protagonist.ethnicity,protagonist.occupation,pocPresence,lgbtqPresence,type,culture,magic,races,creatures,crime,mood,pairing,subgenre,tropes,loveInterest.name,loveInterest.lifeStage,loveInterest.gender,loveInterest.disability,loveInterest.lgbtq,loveInterest.ethnicity,loveInterest.occupation,spice
Forever Never,Lucy Score,ROMANCE,ADULT,STANDALONE,0,THIRD MULTIPLE,MODERN,TOWN,Remy,YOUNG ADULT,FEMALE,Y,STRAIGHT,WHITE,CREATIVE,N,N,,,,,,,,M/F,ROMCOM,PINING; FORCED PROXIMITY; GRUMPY/SUNSHINE; FRIENDS TO LOVERS; AGE GAP; FWB,Brick Callan,ADULT,MALE,N,STRAIGHT,WHITE,POLICE,4
Rock Bottom Girl,Lucy Score,ROMANCE,ADULT,STANDALONE,0,FIRST MULTIPLE,MODERN,TOWN,Marley,MIDDLE AGED,FEMALE,N,STRAIGHT,WHITE,EDUCATION,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; SPORTS; FRIENDS TO LOVERS; FWB,Jake,ADULT,MALE,N,STRAIGHT,WHITE,EDUCATION,4
Mr. Fixer Upper,Lucy Score,ROMANCE,ADULT,Fixer,1,THIRD MULTIPLE,MODERN,MULTIPLE,Paige St. James,ADULT,FEMALE,N,STRAIGHT,WHITE,TELEVISION,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; CLASS DIFFERENCE; GRUMPY/SUNSHINE; ENEMIES TO LOVERS; SECRET RELATIONSHIP; PINING,Gannon,ADULT,MALE,N,STRAIGHT,WHITE,TRADE,4
The Christmas Fix,Lucy Score,ROMANCE,ADULT,Fixer,2,THIRD MULTIPLE,MODERN,TOWN,Cat King,ADULT,FEMALE,N,STRAIGHT,WHITE,TELEVISION,N,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; FORCED PROXIMITY; GRUMPY/SUNSHINE; SECRET RELATIONSHIP; FWB,Noah,ADULT,MALE,N,STRAIGHT,WHITE,PUBLIC SERVICE,4
Raiders of the Lost Heart,Jo Segura,ROMANCE,ADULT,STANDALONE,0,THIRD MULTIPLE,MODERN,MULTIPLE,Corrie Mejia,ADULT,FEMALE,N,STRAIGHT,HISPANIC,SCIENCE,Y,N,,,,,,,,M/F,ROMCOM,ENEMIES TO LOVERS; COWORKERS; FORCED PROXIMITY; GRUMPY/SUNSHINE; SECRET RELATIONSHIP,Ford,ADULT,MALE,N,STRAIGHT,WHITE,SCIENCE,3
The Ex Talk,Rachel Lynn Solomon,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,CITY,Shay Goldstein,ADULT,FEMALE,N,STRAIGHT,WHITE,OTHER,Y,N,,,,,,,,M/F,ROMCOM,COWORKERS; FAKE RELATIONSHIP; ENEMIES TO LOVERS; SECRET RELATIONSHIP,Dominic,YOUNG ADULT,MALE,N,STRAIGHT,ASIAN,OTHER,3
Business or Pleasure,Rachel Lynn Solomon,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,MULTIPLE,Chandler Cohen,ADULT,FEMALE,N,STRAIGHT,WHITE,BOOKS,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; SECRET RELATIONSHIP; FWB,Finn,ADULT,MALE,N,STRAIGHT,WHITE,CELEBRITY,4
The Hating Game,Sally Thorne,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,CITY,Lucy Hutton,ADULT,FEMALE,N,STRAIGHT,WHITE,OFFICE,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; ENEMIES TO LOVERS; PINING; FWB,Josh,ADULT,MALE,N,STRAIGHT,WHITE,OFFICE,3
Second First Impressions,Sally Thorne,ROMANCE,ADULT,STANDALONE,0,FIRST,MODERN,TOWN,Ruthie Midona,ADULT,FEMALE,N,STRAIGHT,WHITE,OFFICE,N,N,,,,,,,,M/F,ROMCOM,FORCED PROXIMITY; GRUMPY/SUNSHINE; FRIENDS TO LOVERS; FORBIDDEN,Teddy,ADULT,MALE,N,STRAIGHT,WHITE,IDLE,3
How to Fake It in Hollywood,Ava Wilder,ROMANCE,ADULT,STANDALONE,0,THIRD MULTIPLE,MODERN,CITY,Grey Brooks,ADULT,FEMALE,N,STRAIGHT,WHITE,CELEBRITY,N,Y,,,,,,,,M/F,ROMCOM,AGE GAP; FAKE RELATIONSHIP; ENEMIES TO LOVERS; FWB; PINING,Ethan,ADULT,MALE,N,STRAIGHT,WHITE,CELEBRITY,3
Will They or Won't They,Ava Wilder,ROMANCE,ADULT,STANDALONE,0,THIRD MULTIPLE,MODERN,MULTIPLE,Lilah Hunter,ADULT,FEMALE,N,STRAIGHT,WHITE,CELEBRITY,N,N,,,,,,,,M/F,ROMCOM,COWORKERS; ENEMIES TO LOVERS; PINING; SECOND CHANCES; INSTALOVE; SECRET RELATIONSHIP,Shane,ADULT,MALE,N,STRAIGHT,WHITE,CELEBRITY,4
Case Histories,Kate Atkinson,MYSTERY,ADULT,Jackson Brodie,1,THIRD MULTIPLE,MODERN,MULTIPLE,Jackson Brodie,ADULT,MALE,N,STRAIGHT,WHITE,COVERT,N,N,,,,,,MURDER,COZY,,,,,,,,,,,
One Good Turn,Kate Atkinson,MYSTERY,ADULT,Jackson Brodie,2,THIRD MULTIPLE,MODERN,MULTIPLE,Jackson Brodie,ADULT,MALE,N,STRAIGHT,WHITE,COVERT,N,N,,,,,,MURDER,COZY,,,,,,,,,,,
When Will There Be Good News,Kate Atkinson,MYSTERY,ADULT,Jackson Brodie,3,THIRD MULTIPLE,MODERN,MULTIPLE,Jackson Brodie,ADULT,MALE,N,STRAIGHT,WHITE,COVERT,N,N,,,,,,MURDER,COZY,,,,,,,,,,,
Started Early Took My Dog,Kate Atkinson,MYSTERY,ADULT,Jackson Brodie,4,THIRD MULTIPLE,MODERN,MULTIPLE,Jackson Brodie,ADULT,MALE,N,STRAIGHT,WHITE,COVERT,N,N,,,,,,MURDER,COZY,,,,,,,,,,,
Size 12 Is Not Fat,Meg Cabot,MYSTERY,ADULT,Heather Wells,1,FIRST,MODERN,SCHOOL/COLLEGE,Heather Wells,ADULT,FEMALE,N,STRAIGHT,WHITE,OFFICE,N,N,,,,,,MURDER,FUNNY,,,,,,,,,,,
Size 14 Is Not Fat Either,Meg Cabot,MYSTERY,ADULT,Heather Wells,2,FIRST,MODERN,SCHOOL/COLLEGE,Heather Wells,ADULT,FEMALE,N,STRAIGHT,WHITE,OFFICE,N,N,,,,,,MURDER,FUNNY,,,,,,,,,,,
Big Boned,Meg Cabot,MYSTERY,ADULT,Heather Wells,3,FIRST,MODERN,SCHOOL/COLLEGE,Heather Wells,ADULT,FEMALE,N,STRAIGHT,WHITE,OFFICE,N,N,,,,,,MURDER,FUNNY,,,,,,,,,,,
Size 12 and Ready to Rock,Meg Cabot,MYSTERY,ADULT,Heather Wells,4,FIRST,MODERN,SCHOOL/COLLEGE,Heather Wells,ADULT,FEMALE,N,STRAIGHT,WHITE,OFFICE,N,N,,,,,,MURDER,FUNNY,,,,,,,,,,,
The Bride Wore Size 12,Meg Cabot,MYSTERY,ADULT,Heather Wells,5,FIRST,MODERN,SCHOOL/COLLEGE,Heather Wells,ADULT,FEMALE,N,STRAIGHT,WHITE,OFFICE,N,N,,,,,,MURDER,FUNNY,,,,,,,,,,,
The Mysterious Affair at Styles,Agatha Christie,MYSTERY,ADULT,Hercule Poirot,1,THIRD,20TH CENTURY,COUNTRY,Hercule Poirot,OLD ADULT,MALE,N,STRAIGHT,WHITE,POLICE,N,N,,,,,,MURDER,COZY,,,,,,,,,,,
